4186	142	49	190	81	457	3530	17	535	121	564	3259	22118	1103	28	1037	966	460	421	281	121	117	76	76	17
4155	132	50	188	81	472	3535	17	521	99	577	3266	21325	1050	29	1025	948	476	448	259	133	111	84	74	15
4210	139	53	187	76	466	3542	18	536	132	573	3279	21870	1047	29	1009	933	487	443	262	140	122	86	77	15
4070	136	42	182	72	445	3435	18	520	115	547	3181	21293	1012	25	975	938	465	442	249	131	108	78	77	17
4205	139	45	185	77	467	3531	13	548	126	580	3269	21600	1035	29	1003	938	477	445	269	140	119	83	78	15
4141	135	42	188	77	447	3487	18	533	121	564	3222	21489	1054	28	996	938	469	437	262	134	116	80	76	17
4306	146	52	198	83	469	3617	16	561	128	599	3336	22463	1114	29	1038	967	486	458	284	142	118	80	74	17
4170	139	49	190	76	450	3503	19	541	126	565	3237	21894	1076	26	989	947	462	451	276	130	118	80	68	16
4106	144	48	178	76	461	3457	19	535	114	552	3203	21045	1083	29	1006	961	460	406	269	133	109	73	78	15
4184	125	47	186	75	465	3526	16	543	115	558	3265	21551	1073	27	1011	959	474	450	253	128	114	81	69	18
